EmployeeID,Age,JobSatisfaction,WorkLifeBalance,Salary,PerformanceRating,InnovationScore,TrainingHours,AbsentDays,Department
Emp_062,27,7,7,55800,4,7,16,4,Sales
Emp_063,46,9,8,82800,5,9,32,1,Tech
Emp_064,21,5,4,46800,2,5,9,7,HR
Emp_065,38,8,9,71800,4,8,27,3,Marketing
Emp_066,31,7,7,59800,4,7,19,4,Sales
Emp_067,51,9,9,91800,5,9,35,0,Tech
Emp_068,25,6,5,52800,3,6,13,6,HR
Emp_069,39,8,8,70800,4,8,26,3,Marketing
Emp_070,32,7,6,59300,4,7,18,4,Sales
Emp_071,50,9,9,88800,5,9,34,0,Tech
Emp_072,22,5,4,47400,2,5,11,6,HR
Emp_073,37,8,7,69300,4,7,25,2,Marketing
Emp_074,29,6,6,57300,3,6,17,5,Sales
Emp_075,48,9,8,84300,5,9,33,1,Tech
Emp_076,23,5,5,48400,3,5,10,7,HR
Emp_077,36,8,9,68300,4,8,26,3,Marketing
Emp_078,30,7,7,58300,4,7,18,4,Sales
Emp_079,49,9,9,85300,5,9,34,0,Tech
Emp_080,26,6,5,51300,3,6,12,6,HR
Emp_081,35,8,8,67600,4,8,25,2,Marketing
Emp_082,27,7,7,55600,4,7,16,4,Sales
Emp_083,46,9,8,82600,5,9,32,1,Tech
Emp_084,21,5,4,46600,2,5,9,7,HR
Emp_085,38,8,9,71600,4,8,27,3,Marketing
Emp_086,31,7,7,59600,4,7,19,4,Sales
Emp_087,51,9,9,91600,5,9,35,0,Tech
Emp_088,25,6,5,52600,3,6,13,6,HR
Emp_089,39,8,8,70600,4,8,26,3,Marketing
Emp_090,32,7,6,59100,4,7,18,4,Sales
Emp_091,50,9,9,88600,5,9,34,0,Tech
Emp_092,22,5,4,47300,2,5,11,6,HR
Emp_093,37,8,7,69400,4,7,25,2,Marketing
Emp_094,29,6,6,57400,3,6,17,5,Sales
Emp_095,48,9,8,84400,5,9,33,1,Tech
Emp_096,23,5,5,48300,3,5,10,7,HR
Emp_097,36,8,9,68400,4,8,26,3,Marketing
Emp_098,30,7,7,58400,4,7,18,4,Sales
Emp_099,49,9,9,85400,5,9,34,0,Tech
Emp_100,26,6,5,51400,3,6,12,6,HR
Emp_101,33,7,8,63000,4,8,25,2,Marketing
Emp_102,27,6,6,53000,3,6,15,5,Sales
Emp_103,44,9,7,78000,5,9,30,1,Tech
Emp_104,20,5,5,46000,3,5,10,7,HR
Emp_105,38,8,9,70000,4,7,28,3,Marketing
Emp_106,30,7,7,58000,4,7,20,4,Sales
Emp_107,50,9,8,88000,5,9,35,0,Tech
Emp_108,24,6,5,50000,3,6,12,6,HR
Emp_109,36,8,8,66000,4,8,26,3,Marketing
Emp_110,28,7,6,56000,4,7,18,4,Sales
Emp_111,47,9,9,83000,5,9,32,1,Tech
Emp_112,21,5,4,45000,2,5,11,7,HR
Emp_113,34,8,7,64000,4,7,24,2,Marketing
Emp_114,26,6,6,52000,3,6,14,5,Sales
Emp_115,45,9,8,80000,5,9,31,0,Tech
Emp_116,22,5,5,45000,3,5,9,6,HR
Emp_117,37,8,9,68000,4,8,27,3,Marketing
Emp_118,29,7,7,57000,4,7,19,4,Sales
Emp_119,48,9,9,85000,5,9,33,1,Tech
Emp_120,23,6,5,48000,3,6,13,7,HR
