OrderID,OrderDate,OrderSeason,Region,StoreType,ProductCategory,ProductType,Product,UnitPrice,QuantityOrdered,DiscountPercent,SalesAmount,ProfitAmount,CustomerSegment,CustomerAge,PaymentMethod,ShippingMode,CustomerRating,
ORD3021,2024-01-05,Winter,North,Flagship,Home Goods,Furniture,Chair,150,2,0.05,285,85.5,Professionals,42,Credit Card,Standard,4,
ORD3022,2024-01-05,Winter,South,Mall,Electronics,Technology,Speaker,200,2,0.1,360,108,Seniors,58,Debit Card,Express,5,
ORD3023,2024-01-10,Winter,West,Outlet,Clothing,Apparel,Blouse,50,3,0.25,112.5,33.75,Young Adults,30,Cash,Standard,3,
ORD3024,2024-01-10,Winter,East,Online,Home Goods,Decor,Blanket,60,2,0,120,36,Professionals,47,Online Payment,Standard,2,
ORD3025,2024-01-15,Winter,North,Flagship,Electronics,Technology,Gaming Console,400,1,0.1,360,108,Seniors,69,Credit Card,Express,4,
ORD3026,2024-01-15,Winter,South,Mall,Clothing,Apparel,Shirt,45,4,0.05,171,51.3,Young Adults,27,Debit Card,Standard,5,
ORD3027,2024-01-20,Winter,West,Outlet,Home Goods,Decor,Pillow,25,5,0.2,100,30,Professionals,51,Cash,Standard,3,
ORD3028,2024-01-20,Winter,East,Online,Electronics,Technology,Monitor,350,2,0.25,525,157.5,Seniors,41,Online Payment,Express,2,
ORD3029,2024-01-25,Winter,North,Flagship,Clothing,Apparel,Shorts,35,3,0,105,31.5,Young Adults,23,Credit Card,Standard,4,
ORD3030,2024-01-25,Winter,South,Mall,Home Goods,Decor,Candle,15,6,0.05,85.5,25.65,Seniors,63,Debit Card,Standard,5,
ORD3031,2024-02-01,Spring,West,Outlet,Electronics,Technology,Printer,250,2,0.2,400,120,Young Adults,34,Cash,Express,3,
ORD3032,2024-02-01,Spring,East,Online,Clothing,Apparel,Socks,10,10,0,100,30,Professionals,49,Online Payment,Standard,2,
ORD3033,2024-02-05,Spring,North,Flagship,Home Goods,Decor,Frame,18,4,0.1,64.8,19.44,Seniors,29,Credit Card,Standard,4,
ORD3034,2024-02-05,Spring,South,Mall,Electronics,Technology,Mouse,30,3,0.05,85.5,25.65,Young Adults,56,Debit Card,Express,5,
ORD3035,2024-02-10,Spring,West,Outlet,Clothing,Apparel,Trousers,75,2,0.25,112.5,33.75,Professionals,37,Cash,Standard,3,
ORD3036,2024-02-10,Spring,East,Online,Home Goods,Decor,Throw Pillow,22,4,0,88,26.4,Seniors,67,Online Payment,Standard,2,
ORD3037,2024-02-15,Spring,North,Flagship,Electronics,Technology,Keyboard,80,2,0.15,136,40.8,Young Adults,24,Credit Card,Express,4,
ORD3038,2024-02-15,Spring,South,Mall,Clothing,Apparel,Hat,20,6,0.05,114,34.2,Professionals,43,Debit Card,Standard,5,
ORD3039,2024-02-20,Spring,West,Outlet,Home Goods,Decor,Clock,35,3,0.2,84,25.2,Seniors,72,Cash,Standard,3,
ORD3040,2024-02-20,Spring,East,Online,Electronics,Technology,External Hard Drive,120,2,0.25,180,54,Young Adults,32,Online Payment,Express,2,
ORD3041,2024-03-01,Spring,North,Flagship,Clothing,Apparel,Hoodie,55,2,0.05,104.5,31.35,Seniors,59,Credit Card,Standard,4,
ORD3042,2024-03-01,Spring,South,Mall,Home Goods,Furniture,Ottoman,120,1,0.1,108,32.4,Young Adults,28,Debit Card,Standard,5,
ORD3043,2024-03-05,Spring,West,Outlet,Electronics,Technology,Webcam,60,2,0.2,96,28.8,Professionals,46,Cash,Express,3,
ORD3044,2024-03-05,Spring,East,Online,Clothing,Accessory,Sunglasses,50,3,0,150,45,Seniors,35,Online Payment,Standard,2,
ORD3045,2024-03-10,Spring,North,Flagship,Home Goods,Furniture,Side Table,90,1,0.1,81,24.3,Young Adults,61,Credit Card,Standard,4,
ORD3046,2024-03-10,Spring,South,Mall,Electronics,Accessory,USB Drive,20,7,0.05,133,39.9,Professionals,25,Debit Card,Express,5,
ORD3047,2024-03-15,Spring,West,Outlet,Clothing,Accessory,Belt,30,2,0.2,48,14.4,Seniors,33,Cash,Standard,3,
ORD3048,2024-03-15,Spring,East,Online,Home Goods,Decor,Wall Art,70,2,0.25,105,31.5,Young Adults,50,Online Payment,Standard,2,
ORD3049,2024-03-20,Spring,North,Flagship,Electronics,Storage,Portable SSD,200,1,0.1,180,54,Seniors,66,Credit Card,Express,4,
ORD3050,2024-03-20,Spring,South,Mall,Clothing,Accessory,Scarf,40,4,0.05,152,45.6,Young Adults,27,Debit Card,Standard,5,
ORD3051,2024-04-01,Spring,West,Outlet,Home Goods,Furniture,Bookshelf,180,1,0.2,144,43.2,Professionals,44,Cash,Standard,3,
ORD3052,2024-04-01,Spring,East,Online,Electronics,Accessory,Wireless Charger,40,3,0.25,90,27,Seniors,71,Online Payment,Express,2,
ORD3053,2024-04-05,Spring,North,Flagship,Clothing,Accessory,Gloves,25,4,0.05,95,28.5,Young Adults,31,Credit Card,Standard,4,
ORD3054,2024-04-05,Spring,South,Mall,Home Goods,Decor,Area Rug,120,1,0.1,108,32.4,Professionals,48,Debit Card,Standard,5,
ORD3055,2024-04-10,Spring,West,Outlet,Electronics,Accessory,Wireless Mouse,35,3,0.2,84,25.2,Seniors,64,Cash,Express,3,
ORD3056,2024-04-10,Spring,East,Online,Clothing,Accessory,Tie,30,2,0.25,45,13.5,Young Adults,26,Online Payment,Standard,2,
ORD3057,2024-04-15,Spring,North,Flagship,Home Goods,Appliance,Coffee Maker,100,1,0.05,95,28.5,Professionals,39,Credit Card,Standard,4,
ORD3058,2024-04-15,Spring,South,Mall,Electronics,Accessory,External DVD Drive,50,3,0.1,135,40.5,Seniors,57,Debit Card,Express,5,
ORD3059,2024-04-20,Spring,West,Outlet,Clothing,Accessory,Wallet,45,2,0.2,72,21.6,Young Adults,33,Cash,Standard,3,
ORD3060,2024-04-20,Spring,East,Online,Home Goods,Appliance,Toaster,70,2,0.25,105,31.5,Professionals,41,Online Payment,Standard,2,
ORD3061,2024-05-01,Summer,North,Flagship,Electronics,Accessory,USB Hub,25,4,0.1,90,27,Seniors,62,Credit Card,Express,4,
ORD3062,2024-05-01,Summer,South,Mall,Clothing,Footwear,Slippers,35,3,0.05,99.75,29.925,Young Adults,22,Debit Card,Standard,5,
ORD3063,2024-05-05,Summer,West,Outlet,Home Goods,Appliance,Blender,90,1,0.2,72,21.6,Professionals,54,Cash,Standard,3,
ORD3064,2024-05-05,Summer,East,Online,Electronics,Accessory,Card Reader,15,7,0.25,78.75,23.625,Seniors,28,Online Payment,Express,2,
ORD3065,2024-05-10,Summer,North,Flagship,Clothing,Footwear,Sandal,40,3,0.05,114,34.2,Young Adults,45,Credit Card,Standard,4,
ORD3066,2024-05-10,Summer,South,Mall,Home Goods,Appliance,Mixer,110,1,0.1,99,29.7,Professionals,69,Debit Card,Standard,5,
ORD3067,2024-05-15,Summer,West,Outlet,Electronics,Accessory,Power Bank,30,4,0.2,96,28.8,Seniors,36,Cash,Express,3,
ORD3068,2024-05-15,Summer,East,Online,Clothing,Footwear,Sneakers,70,2,0.25,105,31.5,Young Adults,51,Online Payment,Standard,2,
ORD3069,2024-05-20,Summer,North,Flagship,Home Goods,Appliance,Kettle,60,2,0.05,114,34.2,Professionals,60,Credit Card,Standard,4,
ORD3070,2024-05-20,Summer,South,Mall,Electronics,Accessory,SD Card,10,10,0.1,90,27,Young Adults,24,Debit Card,Express,5,
ORD3071,2024-06-01,Summer,West,Outlet,Clothing,Footwear,Boots,90,1,0.2,72,21.6,Seniors,47,Cash,Standard,3,
ORD3072,2024-06-01,Summer,East,Online,Home Goods,Appliance,Microwave,150,2,0.25,225,67.5,Young Adults,68,Online Payment,Express,2,
ORD3073,2024-06-05,Summer,North,Flagship,Clothing,Footwear,Socks,12,10,0.05,114,34.2,Professionals,32,Credit Card,Standard,4,
ORD3074,2024-06-05,Summer,South,Mall,Home Goods,Appliance,Refrigerator,800,1,0.1,720,216,Seniors,55,Debit Card,Standard,5,
ORD3075,2024-06-10,Summer,West,Outlet,Clothing,Footwear,Heels,60,3,0.2,144,43.2,Young Adults,72,Cash,Express,3,
ORD3076,2024-06-10,Summer,East,Online,Home Goods,Appliance,Oven,500,1,0.25,375,112.5,Professionals,29,Online Payment,Standard,2,
ORD3077,2024-06-15,Summer,North,Flagship,Clothing,Footwear,Trainers,75,2,0.05,142.5,42.75,Seniors,40,Credit Card,Standard,4,
ORD3078,2024-06-15,Summer,South,Mall,Home Goods,Appliance,Washing Machine,600,1,0.1,540,162,Young Adults,61,Debit Card,Standard,5,
ORD3079,2024-06-20,Summer,West,Outlet,Clothing,Footwear,Flats,55,2,0.2,88,26.4,Professionals,25,Cash,Express,3,
ORD3080,2024-06-20,Summer,East,Online,Home Goods,Appliance,Dishwasher,400,1,0.25,300,90,Seniors,52,Online Payment,Standard,2,
ORD3081,2024-07-01,Summer,North,Flagship,Clothing,Footwear,Sandals,45,3,0.05,128.25,38.475,Young Adults,75,Credit Card,Standard,4,
ORD3082,2024-07-01,Summer,South,Mall,Home Goods,Appliance,Iron,80,1,0.1,72,21.6,Professionals,33,Debit Card,Express,5,
ORD3083,2024-07-05,Summer,West,Outlet,Clothing,Footwear,Loafers,85,2,0.2,136,40.8,Seniors,58,Cash,Standard,3,
ORD3084,2024-07-05,Summer,East,Online,Home Goods,Appliance,Vacuum Cleaner,200,1,0.25,150,45,Young Adults,49,Online Payment,Express,2,
ORD3085,2024-07-10,Summer,North,Flagship,Clothing,Footwear,Oxford Shoes,95,2,0.05,180.5,54.15,Professionals,71,Credit Card,Standard,4,
ORD3086,2024-07-10,Summer,South,Mall,Home Goods,Appliance,Dryer,550,1,0.1,495,148.5,Seniors,27,Debit Card,Standard,5,
ORD3087,2024-07-15,Summer,West,Outlet,Clothing,Footwear,Mules,65,3,0.2,156,46.8,Young Adults,42,Cash,Express,3,
ORD3088,2024-07-15,Summer,East,Online,Home Goods,Appliance,Coffee Machine,300,1,0.25,225,67.5,Professionals,63,Online Payment,Express,2,
ORD3089,2024-07-20,Summer,North,Flagship,Clothing,Footwear,Pumps,78,2,0.05,148.2,44.46,Seniors,35,Credit Card,Standard,4,
ORD3090,2024-07-20,Summer,South,Mall,Home Goods,Appliance,Mixer,120,1,0.1,108,32.4,Professionals,51,Debit Card,Standard,5,
ORD3091,2024-08-01,Autumn,West,Outlet,Clothing,Footwear,Rain Boots,50,3,0.2,120,36,Young Adults,73,Cash,Express,3,
ORD3092,2024-08-01,Autumn,East,Online,Home Goods,Appliance,Juicer,85,1,0.25,63.75,19.125,Professionals,26,Online Payment,Express,2,
ORD3093,2024-08-05,Autumn,North,Flagship,Clothing,Footwear,Ankle Boots,80,2,0.05,152,45.6,Seniors,39,Credit Card,Standard,4,
ORD3094,2024-08-05,Autumn,South,Mall,Home Goods,Appliance,Food Processor,250,1,0.1,225,67.5,Young Adults,65,Debit Card,Standard,5,
ORD3095,2024-08-10,Autumn,West,Outlet,Clothing,Footwear,Slippers,40,3,0.2,96,28.8,Professionals,48,Cash,Express,3,
ORD3096,2024-08-10,Autumn,East,Online,Home Goods,Appliance,Slow Cooker,95,1,0.25,71.25,21.375,Seniors,28,Online Payment,Express,2,
ORD3097,2024-08-15,Autumn,North,Flagship,Clothing,Footwear,Hiking Boots,110,1,0.05,104.5,31.35,Young Adults,53,Credit Card,Standard,4,
ORD3098,2024-08-15,Autumn,South,Mall,Home Goods,Appliance,Electric Kettle,75,2,0.1,135,40.5,Professionals,70,Debit Card,Standard,5,
ORD3099,2024-08-20,Autumn,West,Outlet,Clothing,Footwear,Snow Boots,120,1,0.2,96,28.8,Seniors,31,Cash,Express,3,
ORD3100,2024-08-20,Autumn,East,Online,Home Goods,Appliance,Rice Cooker,70,2,0.25,105,31.5,Young Adults,41,Online Payment,Express,2,
